"","canal","qualidade","percentual","impressoes"
"412","TV Mirante","4.25 Mbps",0,0
"413","TV Mirante","4.75 Mbps",0,0
"414","TV Mirante","5.25 Mbps",0,0
"415","TV Mirante","5.75 Mbps",0,0
"416","TV Mirante","6.25 Mbps",0,0
"417","Inter TV RJ","0.25 Mbps",0,0
"418","Inter TV RJ","0.75 Mbps",0,0
"419","Inter TV RJ","1.25 Mbps",0,0
"420","Inter TV RJ","1.75 Mbps",0,0
"421","Inter TV RJ","2.25 Mbps",100,10
"422","Inter TV RJ","2.75 Mbps",0,0
"423","Inter TV RJ","3.25 Mbps",0,0
"424","Inter TV RJ","3.75 Mbps",0,0
"425","Inter TV RJ","4.25 Mbps",0,0
"426","Inter TV RJ","4.75 Mbps",0,0
"427","Inter TV RJ","5.25 Mbps",0,0
"428","Inter TV RJ","5.75 Mbps",0,0
"429","Inter TV RJ","6.25 Mbps",0,0
"430","TV Rio Sul","0.25 Mbps",0,0
"431","TV Rio Sul","0.75 Mbps",16.67,2
"432","TV Rio Sul","1.25 Mbps",16.67,2
"433","TV Rio Sul","1.75 Mbps",0,0
"434","TV Rio Sul","2.25 Mbps",66.67,8
"435","TV Rio Sul","2.75 Mbps",0,0
"436","TV Rio Sul","3.25 Mbps",0,0
"437","TV Rio Sul","3.75 Mbps",0,0
"438","TV Rio Sul","4.25 Mbps",0,0
"439","TV Rio Sul","4.75 Mbps",0,0
"440","TV Rio Sul","5.25 Mbps",0,0
"441","TV Rio Sul","5.75 Mbps",0,0
"442","TV Rio Sul","6.25 Mbps",0,0
"443","TV Gazeta - ES","0.25 Mbps",0,0
"444","TV Gazeta - ES","0.75 Mbps",4.35,2
"445","TV Gazeta - ES","1.25 Mbps",4.35,2
"446","TV Gazeta - ES","1.75 Mbps",0,0
"447","TV Gazeta - ES","2.25 Mbps",91.3,42
"448","TV Gazeta - ES","2.75 Mbps",0,0
"449","TV Gazeta - ES","3.25 Mbps",0,0
"450","TV Gazeta - ES","3.75 Mbps",0,0
"451","TV Gazeta - ES","4.25 Mbps",0,0
"452","TV Gazeta - ES","4.75 Mbps",0,0
"453","TV Gazeta - ES","5.25 Mbps",0,0
"454","TV Gazeta - ES","5.75 Mbps",0,0
"455","TV Gazeta - ES","6.25 Mbps",0,0
"456","Gloobinho OTT","0.25 Mbps",0,0
"457","Gloobinho OTT","0.75 Mbps",0,0
"458","Gloobinho OTT","1.25 Mbps",0,0
"459","Gloobinho OTT","1.75 Mbps",0,0
"460","Gloobinho OTT","2.25 Mbps",0,0
"461","Gloobinho OTT","2.75 Mbps",0,0
"462","Gloobinho OTT","3.25 Mbps",50,6
"463","Gloobinho OTT","3.75 Mbps",0,0
"464","Gloobinho OTT","4.25 Mbps",0,0
"465","Gloobinho OTT","4.75 Mbps",50,6
"466","Gloobinho OTT","5.25 Mbps",0,0
"467","Gloobinho OTT","5.75 Mbps",0,0
"468","Gloobinho OTT","6.25 Mbps",0,0
"469","Rede Bahia","0.25 Mbps",0,0
"470","Rede Bahia","0.75 Mbps",11.76,2
"471","Rede Bahia","1.25 Mbps",23.53,4
"472","Rede Bahia","1.75 Mbps",0,0
"473","Rede Bahia","2.25 Mbps",64.71,11
"474","Rede Bahia","2.75 Mbps",0,0
"475","Rede Bahia","3.25 Mbps",0,0
"476","Rede Bahia","3.75 Mbps",0,0
"477","Rede Bahia","4.25 Mbps",0,0
"478","Rede Bahia","4.75 Mbps",0,0
"479","Rede Bahia","5.25 Mbps",0,0
"480","Rede Bahia","5.75 Mbps",0,0
"481","Rede Bahia","6.25 Mbps",0,0
"482","Rede Liberal - PA","0.25 Mbps",0,0
"483","Rede Liberal - PA","0.75 Mbps",0,0
"484","Rede Liberal - PA","1.25 Mbps",50,1
"485","Rede Liberal - PA","1.75 Mbps",0,0
"486","Rede Liberal - PA","2.25 Mbps",50,1
"487","Rede Liberal - PA","2.75 Mbps",0,0
"488","Rede Liberal - PA","3.25 Mbps",0,0
"489","Rede Liberal - PA","3.75 Mbps",0,0
"490","Rede Liberal - PA","4.25 Mbps",0,0
"491","Rede Liberal - PA","4.75 Mbps",0,0
"492","Rede Liberal - PA","5.25 Mbps",0,0
"493","Rede Liberal - PA","5.75 Mbps",0,0
"494","Rede Liberal - PA","6.25 Mbps",0,0
"495","TV Sergipe","0.25 Mbps",0,0
"496","TV Sergipe","0.75 Mbps",0,0
"497","TV Sergipe","1.25 Mbps",0,0
"498","TV Sergipe","1.75 Mbps",0,0
"499","TV Sergipe","2.25 Mbps",100,4
"500","TV Sergipe","2.75 Mbps",0,0
"501","TV Sergipe","3.25 Mbps",0,0
"502","TV Sergipe","3.75 Mbps",0,0
"503","TV Sergipe","4.25 Mbps",0,0
"504","TV Sergipe","4.75 Mbps",0,0
"505","TV Sergipe","5.25 Mbps",0,0
"506","TV Sergipe","5.75 Mbps",0,0
"507","TV Sergipe","6.25 Mbps",0,0
"508","TV Integração - Triângulo Mineiro","0.25 Mbps",0,0
"509","TV Integração - Triângulo Mineiro","0.75 Mbps",0,0
"510","TV Integração - Triângulo Mineiro","1.25 Mbps",0,0
"511","TV Integração - Triângulo Mineiro","1.75 Mbps",0,0
"512","TV Integração - Triângulo Mineiro","2.25 Mbps",100,4
"513","TV Integração - Triângulo Mineiro","2.75 Mbps",0,0
"514","TV Integração - Triângulo Mineiro","3.25 Mbps",0,0
"515","TV Integração - Triângulo Mineiro","3.75 Mbps",0,0
"516","TV Integração - Triângulo Mineiro","4.25 Mbps",0,0
"517","TV Integração - Triângulo Mineiro","4.75 Mbps",0,0
"518","TV Integração - Triângulo Mineiro","5.25 Mbps",0,0
"519","TV Integração - Triângulo Mineiro","5.75 Mbps",0,0
"520","TV Integração - Triângulo Mineiro","6.25 Mbps",0,0
"521","TV Tribuna","0.25 Mbps",0,0
"522","TV Tribuna","0.75 Mbps",33.33,1
"523","TV Tribuna","1.25 Mbps",33.33,1
"524","TV Tribuna","1.75 Mbps",0,0
"525","TV Tribuna","2.25 Mbps",33.33,1
"526","TV Tribuna","2.75 Mbps",0,0
"527","TV Tribuna","3.25 Mbps",0,0
"528","TV Tribuna","3.75 Mbps",0,0
"529","TV Tribuna","4.25 Mbps",0,0
